,name,iata_code,iso_country,latitude,longitude
6772,Santa Cruz Island Airport,SZN,US,34.06007,-119.915229
6773,Santa Paula Airport,SZP,US,34.34719849,-119.060997
6774,Qingdao Jiaodong International Airport,TAO,CN,36.361953,120.088171
6775,V.C. Bird International Airport,ANU,AG,17.1367,-61.792702
6776,Codrington Airport,BBQ,AG,17.635799,-61.828602
6777,Timbunke Airport,TBE,PG,-4.196633,143.519222
6778,Grantley Adams International Airport,BGI,BB,13.0746,-59.4925
6779,Tarabo Airport,TBQ,PG,-6.46666666667,145.532222222
6780,Tabal Airstrip,TBV,MH,8.3027,171.1615
6781,Tinboli Airport,TCK,PG,-4.0949,143.3838
6782,Takotna Airport,TCT,US,62.993206,-156.029026
6783,Tetebedi Airport,TDB,PG,-9.1586,148.0686
6784,Canefield Airport,DCF,DM,15.336693,-61.392108
6785,Douglas-Charles Airport,DOM,DM,15.547,-61.299999
6786,Sasereme Airport,TDS,PG,-7.6217,142.868
6787,Terapo Airport,TEO,PG,-8.16972222222,146.194444444
6788,Tifalmin Airport,TFB,PG,-5.1173,141.419
6789,La Désirade Airport,DSD,GP,16.296902,-61.0844
6790,Basse-Terre Baillif Airport,BBR,GP,16.013648,-61.742928
6791,St-François Airport,SFC,GP,16.257799,-61.262501
6792,Martinique Aimé Césaire International Airport,FDF,MQ,14.591,-61.003201
6793,Grand Case-Espérance Airport,SFG,MF,18.099899,-63.047199
6794,Saint Barthélemy - Rémy de Haenen Airport,SBH,BL,17.9044,-62.843601
6795,Les Bases Airport,GBJ,GP,15.86870002746582,-61.27000045776367
6796,Pointe-à-Pitre Le Raizet International  Airport,PTP,GP,16.265301,-61.531799
6797,Terre-de-Haut Airport,LSS,GP,15.86439991,-61.5806007385
6798,Tagula Airport,TGL,PG,-11.3311111111,153.202916667
6799,Point Salines International Airport,GND,GD,12.004199981689451,-61.78620147705078
6800,Lauriston Airport,CRU,GD,12.4761,-61.472801
6801,Cyril E. King Airport,STT,VI,18.337091,-64.977251
6802,Henry E Rohlsen Airport,STX,VI,17.701900482177734,-64.79859924316406
6803,Antonio Nery Juarbe Pol Airport,ARE,PR,18.45085,-66.675768
